"caller","col1","callee"
"__ia32_sys_open_by_handle_at","calls","sys_ni_syscall"
"__ia32_sys_open_by_handle_at","calls","__se_sys_open_by_handle_at"
"__ia32_sys_open_by_handle_at","calls","sys_ni_syscall"
"__x64_sys_open_by_handle_at","calls","__se_sys_open_by_handle_at"
"__x64_sys_open_by_handle_at","calls","sys_ni_syscall"
"__x64_sys_open_by_handle_at","calls","__se_sys_open_by_handle_at"
"__x64_sys_open_by_handle_at","calls","sys_ni_syscall"
"__ia32_sys_name_to_handle_at","calls","__se_sys_name_to_handle_at"
"__ia32_sys_name_to_handle_at","calls","sys_ni_syscall"
"__ia32_sys_name_to_handle_at","calls","__se_sys_name_to_handle_at"
"__ia32_sys_name_to_handle_at","calls","sys_ni_syscall"
"__x64_sys_name_to_handle_at","calls","__se_sys_name_to_handle_at"
"__x64_sys_name_to_handle_at","calls","sys_ni_syscall"
"__x64_sys_name_to_handle_at","calls","__se_sys_name_to_handle_at"
"__x64_sys_name_to_handle_at","calls","sys_ni_syscall"
"__ia32_sys_inotify_rm_watch","calls","__se_sys_inotify_rm_watch"
"__ia32_sys_inotify_rm_watch","calls","sys_ni_syscall"
"__ia32_sys_inotify_rm_watch","calls","__se_sys_inotify_rm_watch"
"__ia32_sys_inotify_rm_watch","calls","sys_ni_syscall"
"__x64_sys_inotify_rm_watch","calls","__se_sys_inotify_rm_watch"
"__x64_sys_inotify_rm_watch","calls","sys_ni_syscall"
"__x64_sys_inotify_rm_watch","calls","__se_sys_inotify_rm_watch"
"__x64_sys_inotify_rm_watch","calls","sys_ni_syscall"
"__ia32_sys_inotify_add_watch","calls","__se_sys_inotify_add_watch"
"__ia32_sys_inotify_add_watch","calls","sys_ni_syscall"
"__ia32_sys_inotify_add_watch","calls","__se_sys_inotify_add_watch"
"__ia32_sys_inotify_add_watch","calls","sys_ni_syscall"
"__x64_sys_inotify_add_watch","calls","__se_sys_inotify_add_watch"
"__x64_sys_inotify_add_watch","calls","sys_ni_syscall"
"__x64_sys_inotify_add_watch","calls","__se_sys_inotify_add_watch"
"__x64_sys_inotify_add_watch","calls","sys_ni_syscall"
"__ia32_sys_inotify_init1","calls","__se_sys_inotify_init1"
"__ia32_sys_inotify_init1","calls","sys_ni_syscall"
"__ia32_sys_inotify_init1","calls","__se_sys_inotify_init1"
"__ia32_sys_inotify_init1","calls","sys_ni_syscall"
"__x64_sys_inotify_init1","calls","__se_sys_inotify_init1"
"__x64_sys_inotify_init1","calls","sys_ni_syscall"
"__x64_sys_inotify_init1","calls","__se_sys_inotify_init1"
"__x64_sys_inotify_init1","calls","sys_ni_syscall"
"__ia32_sys_quotactl_fd","calls","__se_sys_quotactl_fd"
"__ia32_sys_quotactl_fd","calls","sys_ni_syscall"
